Date,Close,MA(10C)s,MA(10C)w,%K(141),%D(3),RSI(14C),MACDHist(12269C),MACD(12269C),MACDSig(12269C),AccDist,CCI(20C),ATR(14)
11/08/2021,11846.53,11771.853,11773.453,66.916,56.816,61.821,-17.682,70.861,88.543,1.09E+11,64.378,99.998
11/07/2021,11841.6,11776.184,11760.663,65.41,40.442,61.54,-26.343,69.242,95.585,1.09E+11,67.781,98.587
11/04/2021,11752.23,11776.829,11748.886,38.122,30.711,56.105,-36.51,66.671,103.182,1.08E+11,6.11,99.167
11/03/2021,11685.66,11795.564,11756.765,17.795,33.057,51.35,-39.311,71.519,110.831,1.08E+11,-34.421,97.881
11/02/2021,11752.12,11817.372,11780.713,36.216,42.636,57.083,-34.453,83.444,117.898,1.08E+11,14.025,95.314
11/01/2021,11722.95,11821.414,11793.312,45.159,53.428,55.037,-31.645,90.685,122.33,1.08E+11,1.482,97.548
10/31/21,11704.14,11824.921,11811.852,46.532,63.854,53.716,-22.915,101.578,124.493,1.08E+11,-1.892,100.147
10/28/21,11758.82,11831.843,11835.071,68.592,75.899,58.343,-8.736,115.919,124.655,1.09E+11,30.969,99.55
10/27/21,11807.79,11825.872,11847.262,76.437,82.895,62.846,4.529,126.969,122.44,1.08E+11,58.289,96.691
10/26/21,11846.69,11807.591,11847.226,82.668,85.045,66.639,16.574,134.241,117.667,1.09E+11,82.41,95.901
10/25/21,11889.84,11777.21,11834.593,89.581,90.822,71.057,26.516,137.609,111.092,1.09E+11,111.842,97.479
10/24/21,11848.05,11739.437,11807.247,82.886,94.295,69.222,31.919,135.513,103.593,1.09E+11,108.956,96.118
10/21/21,11939.58,11711.234,11782.371,100,97.115,79.469,38.68,135.121,96.44,1.09E+11,169.386,94.128
10/20/21,11903.74,11676.409,11734.522,100,95.289,78.301,33.627,123.336,89.708,1.08E+11,179.228,96.596
10/19/21,11792.54,11643.223,11687.155,91.346,94.594,74.048,26.112,110.15,84.037,1.08E+11,144.823,95.472
10/18/21,11758.02,11619.522,11655.698,94.521,97.478,72.494,23.928,103.039,79.111,1.08E+11,144.368,95.767
10/17/21,11773.36,11590.411,11625.223,97.914,94.527,74.331,21.811,95.979,74.168,1.08E+11,175.192,97.993
10/14/21,11699.11,11558.4,11586.14,100,84.306,71.032,14.938,84.011,69.072,1.08E+11,159.943,99.094
10/13/21,11624.98,11538.065,11556.859,85.668,71.822,67.115,10.042,75.072,65.029,1.08E+11,133.001,101.014
10/12/2021,11542.88,11513.932,11536.668,67.251,68.234,61.802,8.413,70.119,61.705,1.08E+11,85.948,101.629
10/11/2021,11512.11,11497.885,11528.487,62.546,74.046,59.526,13.109,71.136,58.026,1.08E+11,70.795,103.064
10/10/2021,11566.02,11483.583,11523.301,74.905,79.867,65.915,20.244,74.533,54.288,1.08E+11,128.489,91.022
10/07/2021,11591.33,11462.267,11504.436,84.688,86.475,69.15,22.1,72.295,50.195,1.08E+11,178.92,84.685
10/06/2021,11571.88,11430.191,11475.138,80.009,85.765,68.03,19.342,65.811,46.468,1.08E+11,188.426,84.669
10/05/2021,11555.53,11404.584,11444.721,94.728,86.691,67.098,14.823,58.557,43.734,1.08E+11,210.022,82.218
10/04/2021,11466.91,11381.864,11413.145,82.56,88.448,61.439,7.096,50.112,43.016,1.08E+11,118.661,80.372
10/03/2021,11453.25,11374.957,11396.427,82.785,83.681,60.466,3.441,47.627,44.186,1.08E+11,111.338,79.365
09/30/21,11495.76,11371.843,11381.625,100,78.135,65.223,-1.45,45.153,46.604,1.08E+11,192.398,80.113
09/29/21,11383.65,11363.365,11357.553,68.258,64.523,56.923,-12.628,37.011,49.64,1.08E+11,23.908,77.34
09/28/21,11382.41,11362.318,11353.675,66.149,59.026,56.818,-16.13,37.495,53.626,1.07E+11,25.94,78.737
09/27/21,11369.09,11362.715,11350.094,59.164,41.729,55.733,-19.93,37.693,57.624,1.08E+11,12.938,77.997
09/26/21,11352.86,11360.091,11348.458,51.766,33.634,54.438,-23.238,38.755,61.994,1.07E+11,2.5,79.547
09/22/21,11270.57,11366.584,11350.953,14.257,24.693,47.159,-25.275,41.198,66.473,1.07E+11,-72.823,77.954
09/21/21,11315.81,11385.092,11371.775,34.878,43.479,51.346,-19.241,52.096,71.337,1.08E+11,-17.5,78.192
09/20/21,11328.33,11394.945,11386.163,24.943,60.966,52.545,-14.2,60.642,74.843,1.08E+11,2.621,75.342
09/19/21,11397.84,11402.903,11399.722,70.615,81.014,59.737,-7.252,69.393,76.646,1.08E+11,60.356,73.124
09/16/21,11422.11,11396.711,11399.517,87.339,82.773,62.511,-4.384,72.475,76.859,1.08E+11,78.627,73.844
09/15/21,11410.98,11386.487,11393.04,85.089,80.213,61.755,-3.016,72.884,75.9,1.07E+11,78.118,75.102
09/14/21,11373.18,11376.443,11386.761,75.891,75.557,59.156,-1.067,73.479,74.547,1.07E+11,58.177,76.574
09/13/21,11386.38,11371.049,11386.373,79.659,80.394,60.489,4.252,77.019,72.766,1.07E+11,65.445,77.735
09/12/2021,11342.85,11357.916,11381.198,71.122,86.937,57.562,8.928,79.072,70.144,1.07E+11,41.044,76.664
09/09/2021,11417.79,11341.65,11380.98,90.401,93.094,65.295,18.439,84.975,66.536,1.07E+11,88.874,74.677
09/08/2021,11455.65,11312.73,11361.878,99.288,96.293,69.687,21.686,83.643,61.956,1.07E+11,120.666,75.96
09/07/2021,11414.34,11282.828,11330.456,89.591,90.518,67.47,18.973,76.871,57.897,1.07E+11,102.806,78.161
09/06/2021,11407.91,11255.497,11301.575,100,86.529,67.123,15.74,71.316,55.575,1.07E+11,107.515,79.884
09/05/2021,11335.92,11221.005,11267.592,81.963,78.231,63.015,9.124,63.843,54.718,1.07E+11,63.861,80.262
09/02/2021,11319.87,11195.068,11241.983,77.625,76.728,62.033,4.858,60.706,55.848,1.07E+11,57.344,84.039
09/01/2021,11310.54,11183.245,11217.142,75.104,70.888,61.481,-2.111,57.453,59.565,1.07E+11,55.57,87.497
08/31/21,11319.24,11186.685,11194.623,77.455,59.144,62.265,-12.779,53.416,66.195,1.07E+11,68.652,91.524
